target_word,most_similar_words,similarity_scores
ministry,"infrastructure, sectors, republic, great, sawmill","0.290, 0.241, 0.240, 0.221, 0.202"
working,"produced, extended, independent, upm, restructuring","0.217, 0.183, 0.168, 0.144, 0.137"
programs,"black, ssh, operational, independent, model","0.177, 0.175, 0.162, 0.156, 0.156"
needs,"drive, gives, overview, comparable, holds","0.182, 0.176, 0.174, 0.150, 0.149"
countries,"regions, offices, players, northern, north","0.227, 0.200, 0.198, 0.176, 0.160"
changed,"magazines, places, fresh, closed, enso","0.244, 0.188, 0.181, 0.177, 0.158"
introduce,"version, step, clean, export, implementation","0.384, 0.342, 0.294, 0.287, 0.258"
fifth,"letter, took, consumption, transaction, lost","0.228, 0.203, 0.195, 0.193, 0.186"
forest,"process, paper, profile, heavy, construction","0.232, 0.198, 0.163, 0.155, 0.153"
dec,"nov, feb, oct, jan, alexandria","0.450, 0.429, 0.402, 0.369, 0.310"
