text,label,text_minimal,text_no_punctuation,text_stopwords,text_stemming
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,"according to gran , the company has no plans to move all production to russia , although that is where the company is growing .",according to gran the company has no plans to move all production to russia although that is where the company is growing,according gran company no plans production russia company growing,accord gran compani no plan product russia compani grow
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,"technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plans to develop in stages an area of no less than 100 000 square meters in order to host companies working in computer technologies and telecommunications the statement said,technopolis plans develop stages area no 100 000 square meters order host companies working computer technologies telecommunications statement said,technopoli plan develop stage area no 100 000 squar meter order host compani work comput technolog telecommun statement said
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,"the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily postimees reported .",the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily postimees reported,international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported,intern electron industri compani elcoteq laid ten employe tallinn facil contrari earlier layoff compani contract rank offic worker daili postime report
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,new production plant company increase capacity meet expected increase demand improve use raw materials increase production profitability,new product plant compani increas capac meet expect increas demand improv use raw materi increas product profit
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,"according to the company 's updated strategy for the years 2009-2012 , basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according to the company s updated strategy for the years 2009 2012 basware targets a long term net sales growth in the range of 20 40 with an operating profit margin of 10 20 of net sales,according company s updated strategy years 2009 2012 basware targets long term net sales growth range 20 40 operating profit margin 10 20 net sales,accord compani s updat strategi year 2009 2012 baswar target long term net sale growth rang 20 40 oper profit margin 10 20 net sale
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing of aspocomp 's growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs .,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs,financing aspocomp s growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs,financ aspocomp s growth aspocomp aggress pursu growth strategi increasingli focus technolog demand hdi print circuit board pcb
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",for the last quarter of 2010 componenta s net sales doubled to eur131m from eur76m for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of eur7m,quarter 2010 componenta s net sales doubled eur131m eur76m period year earlier moved zero pre tax profit pre tax loss eur7m,quarter 2010 componenta s net sale doubl eur131m eur76m period year earlier move zero pre tax profit pre tax loss eur7m
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,"in the third quarter of 2010 , net sales increased by 5.2 % to eur 205.5 mn , and operating profit by 34.9 % to eur 23.5 mn .",in the third quarter of 2010 net sales increased by 5 2 to eur 205 5 mn and operating profit by 34 9 to eur 23 5 mn,quarter 2010 net sales increased 5 2 eur 205 5 mn operating profit 34 9 eur 23 5 mn,quarter 2010 net sale increas 5 2 eur 205 5 mn oper profit 34 9 eur 23 5 mn
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose to eur 13 1 mn from eur 8 7 mn in the corresponding period in 2007 representing 7 7 of net sales,operating profit rose eur 13 1 mn eur 8 7 mn corresponding period 2007 representing 7 7 net sales,oper profit rose eur 13 1 mn eur 8 7 mn correspond period 2007 repres 7 7 net sale
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,"operating profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur 21 1 mn up from eur 18 6 mn in 2007 representing 9 7 of net sales,operating profit totalled eur 21 1 mn up eur 18 6 mn 2007 representing 9 7 net sales,oper profit total eur 21 1 mn up eur 18 6 mn 2007 repres 9 7 net sale
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom 's offering to its customers .,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers,teliasonera tlsn said offer line strategy increase ownership core business holdings strengthen eesti telekom s offering customers,teliasonera tlsn said offer line strategi increas ownership core busi hold strengthen eesti telekom s offer custom
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised the fair value for shares in four of the largest nordic forestry groups .",stora enso norske skog m real upm kymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups,stora enso norske skog m real upm kymmene credit suisse boston cfsb raised fair value shares largest nordic forestry groups,stora enso norsk skog m real upm kymmen credit suiss boston cfsb rais fair valu share largest nordic forestri group
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .",a purchase agreement for 7 200 tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,purchase agreement 7 200 tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus dollars month,purchas agreement 7 200 ton gasolin deliveri hamina termin finland sign nest oil oyj averag platt index septemb plu dollar month
